test_accuracy,final_k,k_ratio,n_prunes,time_sec,prune_rate,lambda_k,cooldown,plateau_tol,model,swept_param,seed,dataset
0.8199999928474426,650,0.065,30,10.736775398254395,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8199999928474426,3876,0.3876,18,10.484309434890747,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7699999809265137,10000,1.0,3,10.310625553131104,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.8199999928474426,1504,0.1504,26,10.710556507110596,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8100000023841858,3876,0.3876,14,10.460790395736694,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7900000214576721,585,0.0585,31,10.83307147026062,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.8199999928474426,2062,0.2062,26,10.884647607803345,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,42,arcene
0.8199999928474426,5315,0.5315,11,10.69015097618103,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,43,arcene
0.7900000214576721,9000,0.9,4,10.57768726348877,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,44,arcene
0.800000011920929,8100,0.81,5,11.302464723587036,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,42,arcene
0.8299999833106995,802,0.0802,28,10.88150930404663,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,43,arcene
0.8100000023841858,6561,0.6561,9,10.544626235961914,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,44,arcene
0.8500000238418579,802,0.0802,31,10.898260354995728,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,42,arcene
0.8100000023841858,891,0.0891,30,10.743888139724731,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,43,arcene
0.8299999833106995,1098,0.1098,29,10.634377241134644,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,44,arcene
