dataset,model,k_strategy,accuracy,k,k_ratio,time_sec,gpu_peak_mb,rss_mb,rss_delta_mb
arcene,A-SAND,auto,0.8500000238418579,1671,0.1671,10.509507179260254,31.97509765625,1464.73046875,200.59375
arcene,A-SAND-Hybrid,auto,0.8399999737739563,4306,0.4306,11.595412731170654,41.48779296875,1498.6328125,63.1640625
arcene,Original SAND,fixed,0.6899999976158142,60,0.006,8.952482223510742,42.53564453125,1485.953125,-12.72265625
arcene,Original SAND,matched_asand,0.7799999713897705,1671,0.1671,8.812085390090942,47.735107421875,1490.3359375,4.33203125
arcene,Original SAND,matched_hybrid,0.8100000023841858,4306,0.4306,8.856169700622559,52.92236328125,1493.24609375,2.859375
arcene,L1-Logistic + MLP,fixed,0.6600000262260437,60,0.006,136.82364082336426,42.178466796875,1499.74609375,6.46875
arcene,L1-Logistic + MLP,matched_asand,0.7400000095367432,1671,0.1671,136.9583032131195,45.605712890625,1514.28515625,14.46875
arcene,L1-Logistic + MLP,matched_hybrid,0.7900000214576721,4306,0.4306,136.94280242919922,51.68017578125,1520.19921875,5.83203125
