model,param,acc_range_pct,k_ratio_range_pct
A-SAND,prune_rate,1.3333340485890632,20.973333333333333
A-SAND,lambda_k,1.6666670640309578,17.986666666666668
A-SAND,cooldown,4.000002145767212,15.06333333333333
A-SAND,plateau_tol,5.666667222976685,18.136666666666667
A-SAND-Hybrid,prune_rate,6.000000238418579,23.49333333333333
A-SAND-Hybrid,lambda_k,0.6666680177052853,34.70666666666666
A-SAND-Hybrid,cooldown,1.6666670640309689,42.239999999999995
A-SAND-Hybrid,plateau_tol,2.333333094914758,24.96333333333334
