model,param,acc_range_pct,k_ratio_range_pct
A-SAND,prune_rate,1.0802467664082882,26.406926406926413
A-SAND,lambda_k,0.3086407979329353,9.956709956709958
A-SAND,cooldown,0.30864477157592773,12.554112554112557
A-SAND,plateau_tol,0.6172835826873779,9.956709956709947
A-SAND-Hybrid,prune_rate,2.932099501291907,10.389610389610398
A-SAND-Hybrid,lambda_k,1.3888875643412346,8.225108225108224
A-SAND-Hybrid,cooldown,1.3888895511627197,6.926406926406925
A-SAND-Hybrid,plateau_tol,1.8518507480621338,12.121212121212121
