dataset,model,k_strategy,accuracy,k,k_ratio,time_sec,gpu_peak_mb,rss_mb,rss_delta_mb
mice,A-SAND,auto,1.0,39,0.5064935064935064,22.20431876182556,1.2890625,1465.57421875,5.47265625
mice,A-SAND-Hybrid,auto,0.9351851940155029,47,0.6103896103896104,29.499187707901,1.40576171875,1501.31640625,35.67578125
mice,Original SAND,matched_asand,0.9907407164573669,39,0.5064935064935064,21.38877272605896,1.435546875,1499.5390625,-1.75
mice,Original SAND,matched_hybrid,0.9953703880310059,47,0.6103896103896104,21.149518251419067,1.497314453125,1501.49609375,1.98046875
mice,Original SAND,fixed,0.9861111044883728,60,0.7792207792207793,20.92532467842102,1.54833984375,1505.84765625,4.34375
mice,L1-Logistic + MLP,matched_asand,0.9398148059844971,39,0.5064935064935064,31.805131912231445,1.687744140625,1513.5546875,7.734375
mice,L1-Logistic + MLP,matched_hybrid,0.9675925970077515,47,0.6103896103896104,31.899245262145996,1.758544921875,1515.02734375,9.26953125
mice,L1-Logistic + MLP,fixed,0.9675925970077515,60,0.7792207792207793,31.82791304588318,2.037109375,1520.12109375,5.0625
