test_accuracy,final_k,k_ratio,n_prunes,time_sec,prune_rate,lambda_k,cooldown,plateau_tol,model,swept_param,seed,dataset
0.9493265151977539,307,0.49756888168557534,14,113.12565398216248,0.05,0.15,3,0.003,A-SAND,prune_rate,42,isolet
0.9422706961631775,265,0.42949756888168555,18,107.49423599243164,0.05,0.15,3,0.003,A-SAND,prune_rate,43,isolet
0.9518922567367554,339,0.5494327390599676,12,107.56778478622437,0.05,0.15,3,0.003,A-SAND,prune_rate,44,isolet
0.9461193084716797,178,0.2884927066450567,13,107.93818354606628,0.1,0.15,3,0.003,A-SAND,prune_rate,42,isolet
0.9525336623191833,197,0.3192868719611021,12,108.25268959999084,0.1,0.15,3,0.003,A-SAND,prune_rate,43,isolet
0.9461193084716797,197,0.3192868719611021,11,104.29005694389343,0.1,0.15,3,0.003,A-SAND,prune_rate,44,isolet
0.9454778432846069,124,0.20097244732576985,12,104.9137167930603,0.15,0.15,3,0.003,A-SAND,prune_rate,42,isolet
0.9441949725151062,145,0.23500810372771475,10,104.56308794021606,0.15,0.15,3,0.003,A-SAND,prune_rate,43,isolet
0.9409878253936768,145,0.23500810372771475,9,105.03785252571106,0.15,0.15,3,0.003,A-SAND,prune_rate,44,isolet
0.9480436444282532,197,0.3192868719611021,12,105.33661079406738,0.1,0.1,3,0.003,A-SAND,lambda_k,42,isolet
0.9512507915496826,197,0.3192868719611021,12,105.07430100440979,0.1,0.1,3,0.003,A-SAND,lambda_k,43,isolet
0.9518922567367554,242,0.39222042139384117,11,105.7295572757721,0.1,0.1,3,0.003,A-SAND,lambda_k,44,isolet
0.9570237398147583,178,0.2884927066450567,12,105.04767227172852,0.1,0.15,3,0.003,A-SAND,lambda_k,42,isolet
0.9486850500106812,178,0.2884927066450567,13,105.40545630455017,0.1,0.15,3,0.003,A-SAND,lambda_k,43,isolet
0.9467607736587524,178,0.2884927066450567,12,105.11012983322144,0.1,0.15,3,0.003,A-SAND,lambda_k,44,isolet
0.9461193084716797,197,0.3192868719611021,12,105.47684502601624,0.1,0.2,3,0.003,A-SAND,lambda_k,42,isolet
0.9461193084716797,242,0.39222042139384117,9,105.97371244430542,0.1,0.2,3,0.003,A-SAND,lambda_k,43,isolet
0.9429121017456055,197,0.3192868719611021,11,106.35530591011047,0.1,0.2,3,0.003,A-SAND,lambda_k,44,isolet
0.944836437702179,218,0.353322528363047,11,106.22931551933289,0.1,0.15,2,0.003,A-SAND,cooldown,42,isolet
0.9518922567367554,218,0.353322528363047,11,105.84843492507935,0.1,0.15,2,0.003,A-SAND,cooldown,43,isolet
0.9409878253936768,161,0.26094003241491087,14,105.23514318466187,0.1,0.15,2,0.003,A-SAND,cooldown,44,isolet
0.944836437702179,197,0.3192868719611021,12,106.2232654094696,0.1,0.15,3,0.003,A-SAND,cooldown,42,isolet
0.9531751275062561,218,0.353322528363047,10,105.98814845085144,0.1,0.15,3,0.003,A-SAND,cooldown,43,isolet
0.9512507915496826,242,0.39222042139384117,9,105.02662253379822,0.1,0.15,3,0.003,A-SAND,cooldown,44,isolet
0.9493265151977539,218,0.353322528363047,11,105.54116702079773,0.1,0.15,5,0.003,A-SAND,cooldown,42,isolet
0.9441949725151062,218,0.353322528363047,11,105.55473399162292,0.1,0.15,5,0.003,A-SAND,cooldown,43,isolet
0.9538165330886841,268,0.4343598055105348,8,105.8070752620697,0.1,0.15,5,0.003,A-SAND,cooldown,44,isolet
0.9602309465408325,501,0.8119935170178282,2,106.88131928443909,0.1,0.15,3,0.001,A-SAND,plateau_tol,42,isolet
0.9557408690452576,406,0.6580226904376013,4,105.35566186904907,0.1,0.15,3,0.001,A-SAND,plateau_tol,43,isolet
0.958306610584259,501,0.8119935170178282,2,104.897127866745,0.1,0.15,3,0.001,A-SAND,plateau_tol,44,isolet
0.9486850500106812,268,0.4343598055105348,9,105.47306537628174,0.1,0.15,3,0.003,A-SAND,plateau_tol,42,isolet
0.9429121017456055,218,0.353322528363047,10,106.13396072387695,0.1,0.15,3,0.003,A-SAND,plateau_tol,43,isolet
0.9544579982757568,197,0.3192868719611021,11,106.53513932228088,0.1,0.15,3,0.003,A-SAND,plateau_tol,44,isolet
0.9358563423156738,107,0.17341977309562398,19,105.9258382320404,0.1,0.15,3,0.005,A-SAND,plateau_tol,42,isolet
0.940346360206604,88,0.1426256077795786,20,106.76207995414734,0.1,0.15,3,0.005,A-SAND,plateau_tol,43,isolet
0.939704954624176,118,0.1912479740680713,18,104.43028855323792,0.1,0.15,3,0.005,A-SAND,plateau_tol,44,isolet
0.9499679207801819,252,0.40842787682333875,19,147.21803188323975,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,isolet
0.9538165330886841,197,0.3192868719611021,25,142.88123488426208,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,isolet
0.9486850500106812,217,0.35170178282009723,21,142.4382462501526,0.05,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,isolet
0.9506093859672546,131,0.21231766612641814,21,141.83604955673218,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,isolet
0.9474021792411804,88,0.1426256077795786,20,143.0415916442871,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,isolet
0.9506093859672546,118,0.1912479740680713,24,144.2167842388153,0.1,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,isolet
0.9518922567367554,124,0.20097244732576985,19,144.0576229095459,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,42,isolet
0.9499679207801819,106,0.17179902755267423,14,142.97269940376282,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,43,isolet
0.9518922567367554,124,0.20097244732576985,13,142.83134937286377,0.15,0.15,3,0.003,A-SAND-Hybrid,prune_rate,44,isolet
0.9544579982757568,178,0.2884927066450567,23,142.9259068965912,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,42,isolet
0.939704954624176,88,0.1426256077795786,24,143.22348928451538,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,43,isolet
0.9531751275062561,118,0.1912479740680713,19,142.78347611427307,0.1,0.1,3,0.003,A-SAND-Hybrid,lambda_k,44,isolet
0.944836437702179,97,0.15721231766612642,21,146.41779780387878,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,42,isolet
0.9486850500106812,107,0.17341977309562398,22,144.984708070755,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,43,isolet
0.9467607736587524,118,0.1912479740680713,19,142.98297476768494,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,44,isolet
0.9409878253936768,88,0.1426256077795786,22,143.57902240753174,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,42,isolet
0.9531751275062561,118,0.1912479740680713,19,143.64149570465088,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,43,isolet
0.9480436444282532,107,0.17341977309562398,24,144.3372139930725,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,44,isolet
0.9538165330886841,131,0.21231766612641814,21,142.71739983558655,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,42,isolet
0.9480436444282532,97,0.15721231766612642,21,143.1143069267273,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,43,isolet
0.9480436444282532,88,0.1426256077795786,21,143.19088792800903,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,44,isolet
0.9525336623191833,107,0.17341977309562398,20,143.14342331886292,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,42,isolet
0.9409878253936768,107,0.17341977309562398,19,142.032940864563,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,43,isolet
0.9467607736587524,97,0.15721231766612642,20,142.5297040939331,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,44,isolet
0.9512507915496826,178,0.2884927066450567,12,142.70460748672485,0.1,0.15,5,0.003,A-SAND-Hybrid,cooldown,42,isolet
