model,param,acc_range_pct,k_ratio_range_pct
A-SAND,prune_rate,0.47038793563841663,26.850351161534302
A-SAND,lambda_k,0.5772948265075684,5.510534846029169
A-SAND,cooldown,0.3848612308502197,5.780659103187469
A-SAND,plateau_tol,1.9456923007965088,59.15721231766613
A-SAND-Hybrid,prune_rate,0.1710494359334347,17.774176121015657
A-SAND-Hybrid,lambda_k,0.23519396781921387,3.835764451647758
A-SAND-Hybrid,cooldown,0.32071868578593676,11.129119394921666
A-SAND-Hybrid,plateau_tol,0.3634830315907944,68.82766072393301
