dataset,model,k_strategy,accuracy,k,k_ratio,time_sec,gpu_peak_mb,rss_mb,rss_delta_mb
mnist,A-SAND,auto,0.9681000113487244,81,0.10331632653061225,879.1702501773834,310.380615234375,2291.88671875,229.15234375
mnist,A-SAND-Hybrid,auto,0.9685999751091003,90,0.11479591836734694,1274.3701884746552,311.2099609375,2317.51953125,106.625
mnist,Original SAND,fixed,0.9527999758720398,60,0.07653061224489796,854.2978527545929,311.151611328125,2321.81640625,4.32421875
mnist,Original SAND,matched_asand,0.963699996471405,81,0.10331632653061225,848.5161280632019,311.429931640625,2322.671875,0.8828125
mnist,Original SAND,matched_hybrid,0.9635999798774719,90,0.11479591836734694,859.5256962776184,311.85693359375,2337.546875,14.890625
mnist,L1-Logistic + MLP,fixed,0.9063000082969666,60,0.07653061224489796,7626.052450418472,327.0966796875,2325.8359375,-11.68359375
mnist,L1-Logistic + MLP,matched_asand,0.939300000667572,81,0.10331632653061225,7623.163890361786,332.001220703125,2337.21484375,11.31640625
mnist,L1-Logistic + MLP,matched_hybrid,0.9429000020027161,90,0.11479591836734694,7618.944206953049,334.152587890625,2345.4765625,8.1875
