test_accuracy,final_k,k_ratio,n_prunes,time_sec,prune_rate,lambda_k,cooldown,plateau_tol,model,swept_param,seed,dataset
0.9930555820465088,53,0.1325,23,34.568406105041504,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,42,coil
0.9930555820465088,48,0.12,22,34.44426655769348,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,43,coil
0.9965277910232544,53,0.1325,21,34.640631437301636,0.1,0.15,3,0.003,A-SAND-Hybrid,lambda_k,44,coil
0.9965277910232544,64,0.16,18,34.455779790878296,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,42,coil
0.9861111044883728,48,0.12,24,34.56525683403015,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,43,coil
0.9895833134651184,53,0.1325,23,34.445637941360474,0.1,0.2,3,0.003,A-SAND-Hybrid,lambda_k,44,coil
0.9895833134651184,48,0.12,21,34.58337116241455,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,42,coil
0.9965277910232544,58,0.145,21,37.38317251205444,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,43,coil
0.9965277910232544,58,0.145,22,35.257824420928955,0.1,0.15,2,0.003,A-SAND-Hybrid,cooldown,44,coil
0.9965277910232544,64,0.16,20,34.76559233665466,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,42,coil
0.9930555820465088,53,0.1325,23,34.78124976158142,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,43,coil
0.9965277910232544,71,0.1775,21,34.77784013748169,0.1,0.15,3,0.003,A-SAND-Hybrid,cooldown,44,coil
0.9965277910232544,116,0.29,12,34.58418917655945,0.1,0.15,5,0.003,A-SAND-Hybrid,cooldown,42,coil
0.9965277910232544,105,0.2625,13,34.528403997421265,0.1,0.15,5,0.003,A-SAND-Hybrid,cooldown,43,coil
0.9965277910232544,105,0.2625,13,34.64065384864807,0.1,0.15,5,0.003,A-SAND-Hybrid,cooldown,44,coil
0.9965277910232544,58,0.145,22,34.64684057235718,0.1,0.15,3,0.001,A-SAND-Hybrid,plateau_tol,42,coil
0.9930555820465088,58,0.145,22,34.76327466964722,0.1,0.15,3,0.001,A-SAND-Hybrid,plateau_tol,43,coil
0.9930555820465088,64,0.16,22,34.582343101501465,0.1,0.15,3,0.001,A-SAND-Hybrid,plateau_tol,44,coil
0.9965277910232544,58,0.145,23,34.5740704536438,0.1,0.15,3,0.003,A-SAND-Hybrid,plateau_tol,42,coil
0.9965277910232544,78,0.195,17,34.584978342056274,0.1,0.15,3,0.003,A-SAND-Hybrid,plateau_tol,43,coil
0.9895833134651184,105,0.2625,16,35.35501194000244,0.1,0.15,3,0.003,A-SAND-Hybrid,plateau_tol,44,coil
1.0,78,0.195,19,35.473323822021484,0.1,0.15,3,0.005,A-SAND-Hybrid,plateau_tol,42,coil
0.9895833134651184,58,0.145,22,35.62359070777893,0.1,0.15,3,0.005,A-SAND-Hybrid,plateau_tol,43,coil
0.9965277910232544,86,0.215,20,35.63944411277771,0.1,0.15,3,0.005,A-SAND-Hybrid,plateau_tol,44,coil
