dataset,model,k_strategy,accuracy,k,k_ratio,time_sec,gpu_peak_mb,rss_mb,rss_delta_mb
coil,A-SAND,auto,0.9965277910232544,40,0.1,27.079521417617798,62.2080078125,2267.21875,-103.82421875
coil,A-SAND-Hybrid,auto,0.9791666865348816,53,0.1325,35.12087392807007,62.773193359375,2276.9609375,9.75390625
coil,Original SAND,matched_asand,0.9930555820465088,40,0.1,25.350266456604004,62.79833984375,2283.015625,5.859375
coil,Original SAND,matched_hybrid,0.9965277910232544,53,0.1325,25.010504722595215,63.01904296875,2282.4921875,16.6796875
coil,Original SAND,fixed,0.9930555820465088,60,0.15,25.019703149795532,63.237548828125,2286.0390625,3.43359375
coil,L1-Logistic + MLP,matched_asand,0.9965277910232544,40,0.1,198.8824062347412,63.047607421875,2288.296875,2.28125
coil,L1-Logistic + MLP,matched_hybrid,0.9965277910232544,53,0.1325,199.33518719673157,63.155029296875,2292.52734375,4.01171875
coil,L1-Logistic + MLP,fixed,0.9930555820465088,60,0.15,198.71206378936768,63.331787109375,2297.46875,4.55078125
