model,param,acc_range_pct,k_ratio_range_pct
A-SAND,prune_rate,0.11574228604634973,12.166666666666666
A-SAND,lambda_k,0.11574228604634973,3.083333333333334
A-SAND,cooldown,0.11574029922485352,11.833333333333332
A-SAND,plateau_tol,0.23148059844970703,2.833333333333332
A-SAND-Hybrid,prune_rate,0.4629651705423954,16.416666666666664
A-SAND-Hybrid,lambda_k,0.5787054697672489,6.916666666666668
A-SAND-Hybrid,cooldown,0.23148258527120325,13.5
A-SAND-Hybrid,plateau_tol,0.11574029922485352,5.083333333333334
